id,level,category,subcategory,stem,choiceA,choiceB,choiceC,choiceD,choiceE,choiceF,answerIndex,explanation,difficulty,image,importedAt
q0011,1,Quantitative Methods,Rates and Returns,An investment manager’s gross return is:,"an after-tax nominal, risk-adjusted return.",the return earned by the manager prior to deduction of trading expenses.,an often used measure of an investment manager’s skill because it does not include expenses related to management or administration.,2,,,C,Gross returns are calculated on a pre-tax basis; trading expenses are accounted for in the computation of gross returns as they contribute directly to the returns earned by the manager. A is incorrect because investment managers’ gross returns are pre-tax and not adjusted for risk. B is incorrect because manag- ers’ gross returns do reflect the deduction of trading expenses since they contrib- ute directly to the return earned by the manager.,1,q0011_q0011.png,2026-01-20T07:12:33.511Z
q0998,1,Economics,LM8: Exchange Rate Calculations,"Parité couverte (1 période). Spot Sf/d = 1.2115, rd = 2.58%, rf = 4.30%. Forward Ff/d (approx.) est :",1.2196,1.2319,1.2442,1.1915,1.1915,1,B,,4,,2026-01-19T23:10:28.958Z
q0020,1,Quantitative Methods,Practice Problems,"Mylandia Corporation stock trades at CAD60.00. The company pays an annual dividend to its shareholders, and its most recent payment of CAD2.40 occurred yesterday. Analysts following Mylandia expect the company’s dividend to grow at a constant rate of 3 percent per year. Mylandia’s required return is:",8.00 percent.,7.00 percent.,7.12 percent.,2,,,C,We may solve for required return based upon the assumption of constant dividend growth using Equation 21: ​r = ​ 2.40​(1.03)​ _ ​ + 0.03 = 0.0712​. B is incorrect as 7.00 percent is the result if we use the previous dividend of CAD2.40 instead of the next expected dividend. A is incorrect as 8.00 percent is simply the required return assumed from one of the Mylandia examples in Ques- tion Set 1 in which the price is solved to be a lower value.,1,,2026-01-20T07:12:33.511Z
q0638,1,Economics,LM6: International Trade,Une quota d’importation se distingue d’un tarif car il :,augmente toujours le surplus des consommateurs.,garantit des recettes fiscales supérieures à un tarif.,limite directement la quantité importée plutôt que de taxer le prix.,subventionne automatiquement les consommateurs.,subventionne automatiquement les consommateurs.,2,C,,4,,2026-01-19T23:10:30.148Z
q0846,1,Economics,LM7: Capital Flows and the FX Market,Un « real money account » en FX désigne plutôt :,banques centrales seulement.,traders HFT à horizon milliseconde uniquement.,comptes de détail avec levier maximal.,"fonds institutionnels souvent peu levierisés (assureurs, pensions, mutual funds).","fonds institutionnels souvent peu levierisés (assureurs, pensions, mutual funds).",3,D,,2,,2026-01-19T23:10:28.952Z
q0823,1,Economics,LM7: Capital Flows and the FX Market,Un régime de change flottant (free float) implique que :,le taux est surtout déterminé par l’offre et la demande sur le marché.,la banque centrale garantit une convertibilité zone étroite toujours.,le taux est fixé légalement à une parité fixe.,les mouvements de capitaux sont interdits.,les mouvements de capitaux sont interdits.,0,A,,1,,2026-01-19T23:10:28.951Z
q0479,1,Economics,Elasticity,"Quantity demanded changes from 150 to 180 when price changes from 18 to 20. Using the midpoint method, elasticity of demand is closest to:",1.73,1.73,0.86,2.59,2.59,0,A,Midpoint elasticity = (ΔQ/avg Q)/(ΔP/avg P). Demand elasticity is typically negative.,4,,2026-01-20T07:12:33.525Z
q0856,1,Economics,LM7: Capital Flows and the FX Market,Un « real money account » en FX désigne plutôt :,traders HFT à horizon milliseconde uniquement.,comptes de détail avec levier maximal.,"fonds institutionnels souvent peu levierisés (assureurs, pensions, mutual funds).",banques centrales seulement.,banques centrales seulement.,2,C,,2,,2026-01-19T23:10:28.952Z
q0259,1,Quantitative Methods,Simple Linear Regression,"In a simple regression of Y on X, the slope coefficient is estimated as 0.6. This is BEST interpreted as:",A one-unit increase in X is associated with an average increase of 0.6 in Y,A one-unit increase in Y causes X to increase,The correlation between X and Y is exactly 0.6,The intercept equals 0.6,The intercept equals 0.6,0,A,"The slope measures the average change in Y for a one-unit change in X, holding other factors constant (in simple regression, just the linear relationship).",2,q0259_q0259.png,2026-01-20T07:12:33.519Z
q0205,1,Portfolio Management & Wealth Planning,Diversification,"For two assets with correlation less than 1, combining them in a portfolio can MOST likely:",Reduce portfolio risk relative to a weighted average of individual risks,Increase expected return with certainty,Eliminate all risk,Increase correlation to 1,Increase correlation to 1,0,A,Imperfect correlation provides diversification benefits and can lower portfolio variance.,2,,2026-01-20T07:12:33.518Z
q0043,1,Quantitative Methods,Estimation and Inference,The best approach for creating a stratified random sample of a population involves:,drawing an equal number of simple random samples from each subpopulation.,selecting every kth member of the population until the desired sample size is reached.,drawing simple random samples from each subpopulation in sizes propor- tional to the relative size of each subpopulation.,2,,,C,"Stratified random sampling involves dividing a population into subpopulations based on one or more classification criteria. Then, simple random samples are drawn from each subpopulation in sizes proportional to the relative size of each subpopulation. These samples are then pooled to form a stratified random sample.",1,,2026-01-20T07:12:33.512Z
q0016,1,Quantitative Methods,Practice Problems,"Mylandia Corporation pays an annual dividend to its shareholders, and its most recent payment was CAD2.40. Analysts following Mylandia expect the company’s dividend to grow at a constant rate of 3 percent per year in perpetuity. Mylandia shareholders require a return of 8 percent per year. The expected share price of Mylandia is closest to:",CAD48.00.,CAD49.44.,CAD51.84.,1,,,B,"Mylandia’s next expected dividend is CAD2.472 (=2.40×1.03), and using Equation 14, ​P ​V​ t​ = ​ 2.40​(1 + 0.03)​ _ 0.08 − 0.03 ​ = ​ 2.472 _ 0.05 ​ = 49.44​.",1,,2026-01-20T07:12:33.511Z
q0940,1,Economics,LM8: Exchange Rate Calculations,"Si le forward Ff/d est supérieur au spot Sf/d (même convention), on dit que :",il n’existe aucune interprétation possible.,la devise étrangère est à forward premium (ou la domestique à forward discount).,le marché est forcément en arbitrage permanent.,la devise étrangère est à forward discount (toujours).,la devise étrangère est à forward discount (toujours).,1,B,,2,,2026-01-19T23:10:28.956Z
q0131,1,Quantitative Methods,Time Value of Money,"What is the future value of 1500 invested today at 4.00% for 3 years, compounded annually?","1,687.30","1,680.00","1,622.40","1,754.79","1,754.79",0,A,FV = PV × (1+r)^n.,2,q0131_q0131.png,2026-01-20T07:12:33.516Z
q0291,1,Financial Reporting & Analysis,Inventory,"Beginning inventory is 200, purchases are 800, and ending inventory is 250. Cost of goods sold (COGS) is closest to:",750,800,700,1000,1000,0,A,COGS = BI + Purchases − EI.,2,,2026-01-20T07:12:33.520Z
q0561,1,Equity Investments,Growth and Returns,A firm has ROE of 16.00% and payout ratio of 50.00%. Its sustainable growth rate is closest to:,8.00%,9.00%,7.00%,16.00%,16.00%,0,A,Sustainable growth = ROE × (1 − payout ratio).,3,,2026-01-20T07:12:33.527Z
q0901,1,Economics,LM8: Exchange Rate Calculations,"Pour calculer un cross-rate avec 3 devises, on utilise généralement :",un seul taux et une prime de risque.,la volatilité implicite.,le PIB relatif des pays.,deux quotes et parfois une inversion pour annuler la devise intermédiaire.,deux quotes et parfois une inversion pour annuler la devise intermédiaire.,3,D,,1,,2026-01-19T23:10:28.954Z
q0518,1,Financial Reporting & Analysis,Cash Flow Statement,"Under the indirect method, an increase of 60 in accounts receivable will MOST likely:",Decrease cash flow from operations,Increase cash flow from operations,Increase cash flow from investing,Decrease net income directly,Decrease net income directly,0,A,Increases in non-cash current assets are uses of cash and reduce CFO.,2,,2026-01-20T07:12:33.526Z
q0859,1,Economics,LM7: Capital Flows and the FX Market,Une intervention de la banque centrale sur le FX market vise souvent à :,contrôler les prix de toutes les actions.,définir la productivité du travail.,fixer le budget public.,influencer le taux de change (niveau/volatilité) via achats/ventes de devises.,influencer le taux de change (niveau/volatilité) via achats/ventes de devises.,3,D,,1,,2026-01-19T23:10:28.952Z
q0366,1,Fixed Income,Mortgage-Backed Securities,"When mortgage rates fall, MBS investors face increased:",Prepayment risk,Extension risk,Credit risk only,Reinvestment risk only,Reinvestment risk only,0,A,"Lower rates encourage refinancing, increasing prepayments (and reinvestment at lower rates).",4,,2026-01-20T07:12:33.522Z
q0763,1,Economics,LM7: Capital Flows and the FX Market,Un régime de change flottant (free float) implique que :,le taux est fixé légalement à une parité fixe.,les mouvements de capitaux sont interdits.,le taux est surtout déterminé par l’offre et la demande sur le marché.,la banque centrale garantit une convertibilité zone étroite toujours.,la banque centrale garantit une convertibilité zone étroite toujours.,2,C,,2,,2026-01-19T23:10:30.153Z
q0387,1,Alternative Investments,Real Estate,"A property has net operating income (NOI) of 120,000 and market value of 3,000,000. The capitalization rate is closest to:",4.00%,5.00%,3.00%,4.44%,4.44%,0,A,Cap rate = NOI / Property value.,2,,2026-01-20T07:12:33.523Z
q0530,1,Corporate Finance,Capital Budgeting,"A project requires an initial outlay of 1000 and generates 600 per year for 5 years. Using discount rate 8.00%, the NPV is closest to:",1396,1516,1276,-1396,-1396,0,A,NPV = −Outlay + Σ CF_t/(1+r)^t.,4,,2026-01-20T07:12:33.526Z
q0757,1,Economics,LM7: Capital Flows and the FX Market,Les contrôles de capitaux (capital restrictions) visent le plus souvent à :,supprimer tout risque de crédit bancaire.,limiter certains flux transfrontaliers pour stabiliser la balance ou le change.,augmenter automatiquement le commerce de services.,remplacer la fiscalité.,remplacer la fiscalité.,1,B,,3,,2026-01-19T23:10:30.152Z
q0662,1,Economics,LM6: International Trade,Les gagnants probables d’un tarif sont souvent :,les contribuables (sans coût).,les importateurs (sans changement).,les consommateurs domestiques.,les producteurs domestiques du secteur protégé (à court terme).,les producteurs domestiques du secteur protégé (à court terme).,3,D,,2,,2026-01-19T23:10:30.149Z
q0654,1,Economics,LM6: International Trade,Le commerce international peut accroître le bien-être car il :,supprime l’innovation.,permet une spécialisation et une consommation au-delà de la PPF domestique.,réduit toujours la variété des biens.,force chaque pays à produire tous les biens.,force chaque pays à produire tous les biens.,1,B,,1,,2026-01-19T23:10:30.149Z
q0372,1,Derivatives,Options,The payoff of a long put option at expiration is:,"max(K−S, 0)","max(S−K, 0)",S−K,K−S (always),K−S (always),0,A,"A long put pays off when the underlying is below strike: max(K−S,0).",1,q0372_q0372.png,2026-01-20T07:12:33.522Z
q0035,1,Quantitative Methods,Practice Problems,"An analyst developed two scenarios with respect to the recovery of USD100,000 principal from defaulted loans: Scenario Probability of Sce- nario (%) Amount Recovered (USD) Probability of Amount (%) 50,000 30,000 80,000 60,000 The amount of the expected recovery is closest to which of the following?","USD36,400.","USD55,000.","USD63,600.",2,,,C,"If Scenario 1 occurs, the expected recovery is 60% (USD50,000) + 40% (USD30,000) = USD42,000, and if Scenario 2 occurs, the expected re- covery is 90% (USD80,000) + 10% (USD60,000) = USD78,000. Weighting by the probability of each scenario, the expected recovery is 40% (USD42,000) + 60% (USD78,000) = USD63,600. Alternatively, first calculating the probability of each amount occurring, the expected recovery is (40%)(60%)(USD50,000) + (40%)(40%)(USD30,000) + (60%)(90%)(USD80,000) + (60%)(10%)(USD60,000) = USD63,600.",1,,2026-01-20T07:12:33.512Z
q0423,1,Quantitative Methods,Time Value of Money,"What is the future value of 2,500 invested today at 8.00% for 2 years, compounded annually?","2,916.00","2,900.00","2,700.00","3,149.28","3,149.28",0,A,FV = PV × (1+r)^n.,2,q0423_q0423.png,2026-01-20T07:12:33.523Z
q0492,1,Financial Reporting & Analysis,Ratios,"A firm has current assets 700, inventory 200, and current liabilities 600. The quick ratio is closest to:",0.83,1.13,0.53,1.17,1.17,0,A,Quick ratio = (Current assets − Inventory)/Current liabilities.,3,,2026-01-20T07:12:33.525Z
q0852,1,Economics,LM7: Capital Flows and the FX Market,Une cotation A/B signifie généralement :,"nombre d’unités de A (price) pour 1 unité de B (base), selon la convention.",taux d’intérêt de A moins celui de B.,"nombre d’unités de B pour 1 unité de A, sans exception.",parité de pouvoir d’achat.,parité de pouvoir d’achat.,0,A,,3,,2026-01-19T23:10:28.952Z
q0312,1,Corporate Finance,Capital Budgeting,"A project requires an initial outlay of 1400 and is expected to generate 400 per year for 3 years. If the discount rate is 8.00%, the NPV is closest to:",-369,-269,-469,369,369,0,A,NPV = −Outlay + Σ CF_t/(1+r)^t.,4,,2026-01-20T07:12:33.521Z
q0932,1,Economics,LM8: Exchange Rate Calculations,Spot = 1.22369 et forward points = -0.00093. Le forward rate (approx.) est :,1.22462,1.22256,1.22369,1.22276,1.22276,3,D,,3,,2026-01-19T23:10:28.955Z
q0595,1,Derivatives,Forwards and Futures,"For a non-dividend-paying asset with spot price 100 and risk-free rate 4.00%, the no-arbitrage forward price for T=1.0 years is closest to:",104,104,96.15,108,108,0,A,"Ignoring dividends, F0 = S0(1+r)^T (with consistent compounding).",3,,2026-01-20T07:12:33.528Z
q0315,1,Corporate Finance,Capital Budgeting,"A project requires an initial outlay of 1300 and is expected to generate 450 per year for 4 years. If the discount rate is 10.00%, the NPV is closest to:",126,226,26,-126,-126,0,A,NPV = −Outlay + Σ CF_t/(1+r)^t.,4,,2026-01-20T07:12:33.521Z
q0837,1,Economics,LM7: Capital Flows and the FX Market,Les contrôles de capitaux (capital restrictions) visent le plus souvent à :,supprimer tout risque de crédit bancaire.,limiter certains flux transfrontaliers pour stabiliser la balance ou le change.,augmenter automatiquement le commerce de services.,remplacer la fiscalité.,remplacer la fiscalité.,1,B,,2,,2026-01-19T23:10:28.951Z
q0018,1,Quantitative Methods,Practice Problems,"Consider a Swiss Confederation zero-coupon bond with a par value of CHF100, a remaining time to maturity of 12 years and a price of CHF89. In three years’ time, the bond is expected to have a price of CHF95.25. If purchased today, the bond’s expected annualized return is closest to:",0.58 percent.,1.64 percent. Time Value of Money in Finance,2.29 percent.,2,,,C,"The FV of the bond is CHF95.25, the PV is CHF89, and the number of annual periods (t) is 3. Using Equation 18, 2.29 percent = (92.25/89)(1/3) − 1. A is incorrect as the result is derived using t of 12.",1,q0018_q0018.png,2026-01-20T07:12:33.511Z
q0720,1,Economics,LM6: International Trade,Quel bloc correspond à une union douanière (customs union) ?,Monnaie unique sans libre circulation des biens.,Libre-échange interne + tarif extérieur commun.,Tarifs internes maintenus + aucune coordination extérieure.,Accords bilatéraux sans règles communes.,Accords bilatéraux sans règles communes.,1,B,,2,,2026-01-19T23:10:30.151Z
q0358,1,Fixed Income,Bond Pricing,"A 3-year annual-pay bond has par 1,000 and coupon rate 5.00%. If YTM is 5.00%, the bond price is closest to:","1,000.00","1,050.00",950,"1,000.00","1,000.00",0,A,Price is PV of coupons and principal discounted at YTM.,4,q0358_q0358.png,2026-01-20T07:12:33.522Z
q0514,1,Financial Reporting & Analysis,Income Taxes,A deferred tax liability is MOST likely to arise when:,Tax depreciation exceeds accounting depreciation in early years,Accounting depreciation exceeds tax depreciation in early years,Permanent differences reduce taxable income,Taxable income equals pretax income in all periods,Taxable income equals pretax income in all periods,0,A,"Accelerated tax depreciation lowers taxes early, creating taxes payable later (DTL).",4,,2026-01-20T07:12:33.526Z
q0121,1,Quantitative Methods,Rates and Returns,"An investment earns returns of 10.00% , 4.00% , and 2.00% over three consecutive years. The geometric mean annual return is closest to:",5.28%,5.33%,5.56%,16.69%,16.69%,0,A,Geometric mean annual return = [(1+r1)(1+r2)(1+r3)]^(1/3) − 1.,3,q0121_q0121.png,2026-01-20T07:12:33.515Z
q0987,1,Economics,LM8: Exchange Rate Calculations,Une forward premium (en points) représente :,le spread bid-ask.,"l’écart entre forward et spot, souvent exprimé en pips/swap points.",la volatilité implicite de l’action.,le taux d’inflation annuel.,le taux d’inflation annuel.,1,B,,2,,2026-01-19T23:10:28.957Z
q0132,1,Quantitative Methods,Descriptive Statistics,"For the data set [12, 17, 19, 31, 34], the mean and median are closest to:","mean 22.6, median 19","mean 19, median 22.6","mean 22.6, median 17","mean 22.6, median 31","mean 22.6, median 31",0,A,Mean is the arithmetic average; median is the middle observation (after sorting).,2,,2026-01-20T07:12:33.516Z
q0551,1,Equity Investments,Equity Valuation,"Using the Gordon growth model, if D1=1.80, r=10.00%, and g=3.00%, the stock’s intrinsic value is closest to:",25.71,21.86,29.57,18,18,0,A,Gordon: V0 = D1/(r−g).,3,,2026-01-20T07:12:33.527Z
q0853,1,Economics,LM7: Capital Flows and the FX Market,Un régime de change flottant (free float) implique que :,la banque centrale garantit une convertibilité zone étroite toujours.,le taux est fixé légalement à une parité fixe.,les mouvements de capitaux sont interdits.,le taux est surtout déterminé par l’offre et la demande sur le marché.,le taux est surtout déterminé par l’offre et la demande sur le marché.,3,D,,1,,2026-01-19T23:10:28.952Z
q0299,1,Financial Reporting & Analysis,Leases,"Compared with an operating lease under older accounting, capitalizing a lease will MOST likely:",Increase reported assets and liabilities,Decrease reported assets and liabilities,Have no effect on leverage ratios,Eliminate interest expense,Eliminate interest expense,0,A,"Capitalizing recognizes a right-of-use asset and lease liability, increasing reported leverage.",3,,2026-01-20T07:12:33.520Z
q0255,1,Quantitative Methods,Sampling and Estimation,"A population standard deviation is known to be 12. For sample size n=100, the 95% (or 90% if stated) two-sided z critical value is used. If α=0.1, the margin of error for the mean is closest to:",1.97,1.58,2.37,1.2,1.2,0,A,Margin of error = z_(α/2) × σ/√n (with appropriate z).,4,q0255_q0255.png,2026-01-20T07:12:33.519Z
q0851,1,Economics,LM7: Capital Flows and the FX Market,"Dans le marché FX, les « sell-side » sont le plus souvent :",des entreprises non financières qui paient des salaires.,des ménages touristes uniquement.,de grandes banques qui cotent des prix et font le market making.,des autorités fiscales.,des autorités fiscales.,2,C,,1,,2026-01-19T23:10:28.952Z
q0480,1,Financial Reporting & Analysis,Ratios,A firm reports current assets of 900 and current liabilities of 550. Its current ratio is closest to:,1.64,2.04,1.24,0.64,0.64,0,A,Current ratio = Current assets / Current liabilities.,2,,2026-01-20T07:12:33.525Z
q0335,1,Equity Investments,Equity Valuation,"Using the Gordon growth model, if next year’s dividend D1=3.00, required return r=11.00%, and growth g=5.00%, intrinsic value is closest to:",50,40,60,27.27,27.27,0,A,Gordon: V0 = D1/(r−g).,3,,2026-01-20T07:12:33.521Z
q0426,1,Quantitative Methods,Time Value of Money,"What is the present value of 3,000 received in 5 years, discounted at 4.00% compounded annually?","2,465.78","2,564.41","2,219.20","2,712.36","2,712.36",0,A,PV = FV/(1+r)^n.,3,q0426_q0426.png,2026-01-20T07:12:33.524Z
q0665,1,Economics,LM6: International Trade,Pays A peut produire 4 vin ou 14 tissu par jour. Pays B peut produire 9 vin ou 5 tissu. Le pays avec avantage comparatif en vin est :,Le pays B.,Impossible à déterminer sans le prix mondial.,Les deux pays ont le même avantage comparatif en vin.,Le pays qui a la productivité la plus élevée en vin.,Le pays qui a la productivité la plus élevée en vin.,0,A,,4,,2026-01-19T23:10:30.149Z
q0328,1,Corporate Finance,Capital Budgeting,"When projects are mutually exclusive, decision-making should generally prioritize:",Higher NPV,Higher payback period,Higher accounting profit,Lower initial cost regardless of cash flows,Lower initial cost regardless of cash flows,0,A,NPV best measures value added; use consistent discount rate and incremental cash flows.,3,,2026-01-20T07:12:33.521Z
q0687,1,Economics,LM6: International Trade,Un tarif douanier (tariff) a tendance à :,supprimer la perte sèche (deadweight loss).,baisser le prix intérieur et augmenter les importations.,augmenter le prix intérieur et réduire la quantité importée.,ne pas affecter l’offre domestique.,ne pas affecter l’offre domestique.,2,C,,2,,2026-01-19T23:10:30.150Z
q0226,1,Ethics,Standards of Professional Conduct,A member receives a referral fee from a broker for introducing clients. The member should:,Disclose the arrangement to the employer and clients as required,Keep it confidential to avoid bias concerns,Accept only if the fee is small,Only disclose to the broker,Only disclose to the broker,0,A,Referral fees create conflicts and should be disclosed.,2,,2026-01-20T07:12:33.518Z
q0838,1,Economics,LM7: Capital Flows and the FX Market,Le bid-ask spread correspond à :,le coût fixe d’un exportateur.,l’écart entre le prix d’achat (bid) et de vente (ask/offer).,la différence entre PIB nominal et réel.,le différentiel d’inflation.,le différentiel d’inflation.,1,B,,1,,2026-01-19T23:10:28.952Z
q0376,1,Derivatives,Forwards and Futures,"For a non-dividend-paying asset with spot price 75 and risk-free rate 5.00%, the no-arbitrage forward price for maturity T=1.0 years is closest to:",78.75,78.75,71.43,83.75,83.75,0,A,"Ignoring dividends and using annual compounding, F0 = S0(1+r)^T.",3,,2026-01-20T07:12:33.522Z
q0679,1,Economics,LM6: International Trade,Une subvention à l’export (export subsidy) tend à :,ne jamais coûter au budget public.,baisser les prix domestiques à coup sûr.,augmenter les exportations et réduire la quantité disponible domestiquement.,réduire les exportations.,réduire les exportations.,2,C,,4,,2026-01-19T23:10:30.150Z
q0150,1,Economics,Economic Growth,Which factor MOST directly increases an economy’s long-run potential output?,Higher productivity (TFP),Higher unemployment,Higher inflation,A higher nominal exchange rate,A higher nominal exchange rate,0,A,Sustained growth in potential output is driven primarily by productivity and factor accumulation.,3,,2026-01-20T07:12:33.516Z
q0407,1,Portfolio Management & Wealth Planning,Performance Evaluation,A positive Jensen’s alpha (CAPM) most directly suggests:,Return exceeded that justified by beta exposure,Portfolio has zero risk,Benchmark return was negative,Manager always adds value in the future,Manager always adds value in the future,0,A,Positive alpha indicates performance above CAPM-expected return given beta (historically).,3,,2026-01-20T07:12:33.523Z
q0842,1,Economics,LM7: Capital Flows and the FX Market,Une cotation A/B signifie généralement :,taux d’intérêt de A moins celui de B.,parité de pouvoir d’achat.,"nombre d’unités de B pour 1 unité de A, sans exception.","nombre d’unités de A (price) pour 1 unité de B (base), selon la convention.","nombre d’unités de A (price) pour 1 unité de B (base), selon la convention.",3,D,,2,,2026-01-19T23:10:28.952Z
